model,od_source,matched_od,total_generated,match_rate,Distance_JSD,Radius_JSD,Duration_JSD,Distance_gen_mean,Hausdorff_km,DTW_km,EDR
distilled,test,4838,4913,98.47343781803379,0.003610918430129722,0.0034747205814909094,0.017533745357022082,5.58676161229819,0.7765657647546389,16.596655901472154,0.45000340920880183
distilled_seed43,test,4901,4913,99.75575005088541,0.004256470496077216,0.0024948319284144017,0.016212783083274403,5.620186197530918,0.7811114560490185,16.60530187078268,0.44167035134852656
distilled_seed44,test,4836,4913,98.43272949318136,0.0030463119911157046,0.002932805838494268,0.01985502003449089,5.497074186689397,0.7405800700820527,15.861547024321869,0.43471518836430956
vanilla,test,4860,4913,98.92122939141055,0.0028596393060735777,0.003025137712132411,0.015829791666370416,5.503774314635082,0.7511219135694891,15.901819438420867,0.4399440180230379
vanilla_seed43,test,4893,4913,99.59291675147568,0.003742105258389067,0.002648134062490491,0.018346830215570712,5.565736786787759,0.7666294514134185,16.072750328874697,0.4378473925269803
vanilla_seed44,test,4875,4913,99.22654182780379,0.0035867521578441053,0.003387870810949308,0.016823481513660005,5.53797045049444,0.7670370942534146,16.879302480055365,0.44689215520153697
distill,train,1,4966,0.02013693113169553,0.6710192068012912,0.6272279243686452,0.237617706092063,452.60102372381334,49.150384609812285,467.4859913579004,0.9545454545454546
distill,train,1,4966,0.02013693113169553,0.6713358018797648,0.6278929454947259,0.2538897719131976,448.76531285050083,44.4567023023583,656.2903263105122,0.96
distilled,train,4877,4963,98.26717711061858,0.00453325009819485,0.0034780051965508834,0.017131862851411366,5.677003201153269,0.7766358067021677,16.502642131689193,0.45853742804182007
distilled_seed43,train,4960,4963,99.9395526899053,0.004620274140412259,0.003013372044303877,0.016118751358575847,5.678850999638036,0.7896502049536352,16.69509192619168,0.445238212052901
distilled_seed44,train,4886,4963,98.44851904090268,0.0037210642096418426,0.002591492478727117,0.020122323860312666,5.603169217925469,0.7636055763450661,15.901681164523266,0.44925026413216795
vanilla,train,4907,4961,98.91150977625479,0.0042293814981002025,0.0027187440329146766,0.01692367962940231,5.615170917552286,0.7674319311453475,16.323845616179337,0.451724789365751
vanilla,train,1,4966,0.02013693113169553,0.67017407630642,0.6294857857149848,0.24542830204391589,449.014028163562,43.5820712061342,830.1041955376021,0.9710144927536232
vanilla,train,1,4966,0.02013693113169553,0.6716220541198229,0.6285540367558321,0.23642151564367778,469.59591516665677,49.150384609812285,456.3338833094774,0.9534883720930233
vanilla,train,2,4964,0.040290088638195005,0.6694110377882356,0.6251975813304563,0.23933425818071563,454.80521602110855,46.11832729347576,898.9454375092491,0.9562200956937799
vanilla_seed43,train,4948,4963,99.6977634495265,0.003997084864288642,0.0022974024107019686,0.01900942702983699,5.6585444461287375,0.7793370093124976,16.3180485912988,0.44303067468633256
vanilla_seed44,train,4939,4963,99.5164215192424,0.004262595971470884,0.0029175317910950247,0.017192311803005317,5.638752402164041,0.79390321799102,17.55537405719788,0.4560346968289437
