od_source,metric,direction,scenario,delta
train,Distance_JSD,distilled_better,from_center,0.003101464517000746
train,Distance_JSD,distilled_better,within_center,0.0019553504464130747
train,Distance_JSD,distilled_better,weekend,0.0011245799412112414
train,Distance_JSD,distilled_better,weekday,0.000926396392204468
train,Distance_JSD,distilled_better,suburban,0.000641958065235689
train,Distance_JSD,vanilla_better,to_center,-0.007331323795670655
train,Distance_JSD,vanilla_better,peak,-0.0018348728214171578
train,Distance_JSD,vanilla_better,city_center,0.00030650341048577
train,Distance_JSD,vanilla_better,off_peak,0.00043566335111273544
train,Distance_JSD,vanilla_better,suburban,0.000641958065235689
train,match_rate,distilled_better,within_center,2.842170943040401e-14
train,match_rate,distilled_better,to_center,-0.2789400278940093
train,match_rate,distilled_better,weekend,-0.5073112503730073
train,match_rate,distilled_better,city_center,-0.5104934770277936
train,match_rate,distilled_better,peak,-0.5208333333333428
train,match_rate,vanilla_better,from_center,-1.2714206744057464
train,match_rate,vanilla_better,suburban,-0.5726430581613613
train,match_rate,vanilla_better,off_peak,-0.5556423512157096
train,match_rate,vanilla_better,weekday,-0.553723734193909
train,match_rate,vanilla_better,peak,-0.5208333333333428
train,Radius_JSD,distilled_better,peak,0.002712633413627291
train,Radius_JSD,distilled_better,from_center,0.0019848842920200463
train,Radius_JSD,distilled_better,weekend,0.001019135673948856
train,Radius_JSD,distilled_better,suburban,-0.000018580311107516297
train,Radius_JSD,distilled_better,weekday,-0.00037888427615132177
train,Radius_JSD,vanilla_better,to_center,-0.003529178348710714
train,Radius_JSD,vanilla_better,within_center,-0.0010871293738306427
train,Radius_JSD,vanilla_better,city_center,-0.0006454667524382895
train,Radius_JSD,vanilla_better,off_peak,-0.0006113887899773726
train,Radius_JSD,vanilla_better,weekday,-0.00037888427615132177
